dateVector,songs,headlines
"
Apr
30
2023

",Miss Americana & The Heartbreak Prince," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Cruel Summer," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",The Man," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",You Need To Calm Down," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Lover," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",The Archer," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Fearless," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",You Belong With Me," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Love Story," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",'Tis The Damn Season," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Willow," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Marjorie," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Champagne Problems," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Tolerate It," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",...Ready For It?," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Delicate," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Don't Blame Me," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Look What You Made Me Do," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Enchanted," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",22," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",We Are Never Ever Getting Back Together," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",I Knew You Were Trouble," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",All Too Well (10 Minute Version)," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",The 1," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Betty," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",The Last Great American Dynasty," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",August," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Illicit Affairs," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",My Tears Ricochet," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Cardigan," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Style," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Blank Space," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Shake It Off," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Wildest Dreams," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Bad Blood," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",I Bet You Think About Me," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",How You Get The Girl," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Lavender Haze," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Anti‐Hero," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Midnight Rain," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Vigilante Shit," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Bejeweled," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Mastermind," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
30
2023

",Karma," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",Miss Americana & The Heartbreak Prince," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",Cruel Summer," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",The Man," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",You Need To Calm Down," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",Lover," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",The Archer," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",Fearless," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",You Belong With Me," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",Love Story," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",'Tis The Damn Season," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",Willow," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",Marjorie," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",Champagne Problems," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",Tolerate It," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",...Ready For It?," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",Delicate," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",Don't Blame Me," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",Look What You Made Me Do," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",Enchanted," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",22," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",We Are Never Ever Getting Back Together," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",I Knew You Were Trouble," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",All Too Well (10 Minute Version)," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",The 1," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",Betty," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",The Last Great American Dynasty," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",August," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",Illicit Affairs," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",My Tears Ricochet," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",Cardigan," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",Style," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",Blank Space," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",Shake It Off," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",Wildest Dreams," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",Bad Blood," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",High Infidelity," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",Gorgeous," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",Lavender Haze," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",Anti‐Hero," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",Midnight Rain," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",Vigilante Shit," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",Bejeweled," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",Mastermind," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
29
2023

",Karma," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
28
2023

",Miss Americana & The Heartbreak Prince," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
28
2023

",Cruel Summer," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
28
2023

",The Man," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
28
2023

",You Need To Calm Down," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
28
2023

",Lover," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
28
2023

",The Archer," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
28
2023

",Fearless," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
28
2023

",You Belong With Me," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
28
2023

",Love Story," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
28
2023

",'Tis The Damn Season," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
28
2023

",Willow," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
28
2023

",Marjorie," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
28
2023

",Champagne Problems," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
28
2023

",Tolerate It," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
28
2023

",...Ready For It?," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
28
2023

",Delicate," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
28
2023

",Don't Blame Me," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
28
2023

",Look What You Made Me Do," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
28
2023

",Enchanted," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
28
2023

",22," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
28
2023

",We Are Never Ever Getting Back Together," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
28
2023

",I Knew You Were Trouble," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
28
2023

",All Too Well (10 Minute Version)," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
28
2023

",The 1," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
28
2023

",Betty," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
28
2023

",The Last Great American Dynasty," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
28
2023

",August," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
28
2023

",Illicit Affairs," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
28
2023

",My Tears Ricochet," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
28
2023

",Cardigan," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
28
2023

",Style," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
28
2023

",Blank Space," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
28
2023

",Shake It Off," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
28
2023

",Wildest Dreams," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
28
2023

",Bad Blood," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
28
2023

",The Other Side Of The Door," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
28
2023

",Coney Island," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
28
2023

",Lavender Haze," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
28
2023

",Anti‐Hero," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
28
2023

",Midnight Rain," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
28
2023

",Vigilante Shit," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
28
2023

",Bejeweled," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
28
2023

",Mastermind," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
28
2023

",Karma," Mercedes-Benz Stadium, Atlanta, GA, USA"
"
Apr
23
2023

",Miss Americana & The Heartbreak Prince," NRG Stadium, Houston, TX, USA"
"
Apr
23
2023

",Cruel Summer," NRG Stadium, Houston, TX, USA"
"
Apr
23
2023

",The Man," NRG Stadium, Houston, TX, USA"
"
Apr
23
2023

",You Need To Calm Down," NRG Stadium, Houston, TX, USA"
"
Apr
23
2023

",Lover," NRG Stadium, Houston, TX, USA"
"
Apr
23
2023

",The Archer," NRG Stadium, Houston, TX, USA"
"
Apr
23
2023

",Fearless," NRG Stadium, Houston, TX, USA"
"
Apr
23
2023

",You Belong With Me," NRG Stadium, Houston, TX, USA"
"
Apr
23
2023

",Love Story," NRG Stadium, Houston, TX, USA"
"
Apr
23
2023

",'Tis The Damn Season," NRG Stadium, Houston, TX, USA"
"
Apr
23
2023

",Willow," NRG Stadium, Houston, TX, USA"
"
Apr
23
2023

",Marjorie," NRG Stadium, Houston, TX, USA"
"
Apr
23
2023

",Champagne Problems," NRG Stadium, Houston, TX, USA"
"
Apr
23
2023

",Tolerate It," NRG Stadium, Houston, TX, USA"
"
Apr
23
2023

",...Ready For It?," NRG Stadium, Houston, TX, USA"
"
Apr
23
2023

",Delicate," NRG Stadium, Houston, TX, USA"
"
Apr
23
2023

",Don't Blame Me," NRG Stadium, Houston, TX, USA"
"
Apr
23
2023

",Look What You Made Me Do," NRG Stadium, Houston, TX, USA"
"
Apr
23
2023

",Enchanted," NRG Stadium, Houston, TX, USA"
"
Apr
23
2023

",22," NRG Stadium, Houston, TX, USA"
"
Apr
23
2023

",We Are Never Ever Getting Back Together," NRG Stadium, Houston, TX, USA"
"
Apr
23
2023

",I Knew You Were Trouble," NRG Stadium, Houston, TX, USA"
"
Apr
23
2023

",All Too Well (10 Minute Version)," NRG Stadium, Houston, TX, USA"
"
Apr
23
2023

",The 1," NRG Stadium, Houston, TX, USA"
"
Apr
23
2023

",Betty," NRG Stadium, Houston, TX, USA"
"
Apr
23
2023

",The Last Great American Dynasty," NRG Stadium, Houston, TX, USA"
"
Apr
23
2023

",August," NRG Stadium, Houston, TX, USA"
"
Apr
23
2023

",Illicit Affairs," NRG Stadium, Houston, TX, USA"
"
Apr
23
2023

",My Tears Ricochet," NRG Stadium, Houston, TX, USA"
"
Apr
23
2023

",Cardigan," NRG Stadium, Houston, TX, USA"
"
Apr
23
2023

",Style," NRG Stadium, Houston, TX, USA"
"
Apr
23
2023

",Blank Space," NRG Stadium, Houston, TX, USA"
"
Apr
23
2023

",Shake It Off," NRG Stadium, Houston, TX, USA"
"
Apr
23
2023

",Wildest Dreams," NRG Stadium, Houston, TX, USA"
"
Apr
23
2023

",Bad Blood," NRG Stadium, Houston, TX, USA"
"
Apr
23
2023

",Begin Again," NRG Stadium, Houston, TX, USA"
"
Apr
23
2023

",Cold As You," NRG Stadium, Houston, TX, USA"
"
Apr
23
2023

",Lavender Haze," NRG Stadium, Houston, TX, USA"
"
Apr
23
2023

",Anti‐Hero," NRG Stadium, Houston, TX, USA"
"
Apr
23
2023

",Midnight Rain," NRG Stadium, Houston, TX, USA"
"
Apr
23
2023

",Vigilante Shit," NRG Stadium, Houston, TX, USA"
"
Apr
23
2023

",Bejeweled," NRG Stadium, Houston, TX, USA"
"
Apr
23
2023

",Mastermind," NRG Stadium, Houston, TX, USA"
"
Apr
23
2023

",Karma," NRG Stadium, Houston, TX, USA"
"
Apr
22
2023

",Miss Americana & The Heartbreak Prince," NRG Stadium, Houston, TX, USA"
"
Apr
22
2023

",Cruel Summer," NRG Stadium, Houston, TX, USA"
"
Apr
22
2023

",The Man," NRG Stadium, Houston, TX, USA"
"
Apr
22
2023

",You Need To Calm Down," NRG Stadium, Houston, TX, USA"
"
Apr
22
2023

",Lover," NRG Stadium, Houston, TX, USA"
"
Apr
22
2023

",The Archer," NRG Stadium, Houston, TX, USA"
"
Apr
22
2023

",Fearless," NRG Stadium, Houston, TX, USA"
"
Apr
22
2023

",Love Story," NRG Stadium, Houston, TX, USA"
"
Apr
22
2023

",You Belong With Me," NRG Stadium, Houston, TX, USA"
"
Apr
22
2023

",'Tis The Damn Season," NRG Stadium, Houston, TX, USA"
"
Apr
22
2023

",Willow," NRG Stadium, Houston, TX, USA"
"
Apr
22
2023

",Marjorie," NRG Stadium, Houston, TX, USA"
"
Apr
22
2023

",Champagne Problems," NRG Stadium, Houston, TX, USA"
"
Apr
22
2023

",Tolerate It," NRG Stadium, Houston, TX, USA"
"
Apr
22
2023

",...Ready For It?," NRG Stadium, Houston, TX, USA"
"
Apr
22
2023

",Delicate," NRG Stadium, Houston, TX, USA"
"
Apr
22
2023

",Don't Blame Me," NRG Stadium, Houston, TX, USA"
"
Apr
22
2023

",Look What You Made Me Do," NRG Stadium, Houston, TX, USA"
"
Apr
22
2023

",Enchanted," NRG Stadium, Houston, TX, USA"
"
Apr
22
2023

",22," NRG Stadium, Houston, TX, USA"
"
Apr
22
2023

",We Are Never Ever Getting Back Together," NRG Stadium, Houston, TX, USA"
"
Apr
22
2023

",I Knew You Were Trouble," NRG Stadium, Houston, TX, USA"
"
Apr
22
2023

",All Too Well (10 Minute Version)," NRG Stadium, Houston, TX, USA"
"
Apr
22
2023

",The 1," NRG Stadium, Houston, TX, USA"
"
Apr
22
2023

",Betty," NRG Stadium, Houston, TX, USA"
"
Apr
22
2023

",The Last Great American Dynasty," NRG Stadium, Houston, TX, USA"
"
Apr
22
2023

",August," NRG Stadium, Houston, TX, USA"
"
Apr
22
2023

",Illicit Affairs," NRG Stadium, Houston, TX, USA"
"
Apr
22
2023

",My Tears Ricochet," NRG Stadium, Houston, TX, USA"
"
Apr
22
2023

",Cardigan," NRG Stadium, Houston, TX, USA"
"
Apr
22
2023

",Style," NRG Stadium, Houston, TX, USA"
"
Apr
22
2023

",Blank Space," NRG Stadium, Houston, TX, USA"
"
Apr
22
2023

",Shake It Off," NRG Stadium, Houston, TX, USA"
"
Apr
22
2023

",Wildest Dreams," NRG Stadium, Houston, TX, USA"
"
Apr
22
2023

",Bad Blood," NRG Stadium, Houston, TX, USA"
"
Apr
22
2023

",A Place In This World," NRG Stadium, Houston, TX, USA"
"
Apr
22
2023

",Today Was A Fairytale," NRG Stadium, Houston, TX, USA"
"
Apr
22
2023

",Lavender Haze," NRG Stadium, Houston, TX, USA"
"
Apr
22
2023

",Anti‐Hero," NRG Stadium, Houston, TX, USA"
"
Apr
22
2023

",Midnight Rain," NRG Stadium, Houston, TX, USA"
"
Apr
22
2023

",Vigilante Shit," NRG Stadium, Houston, TX, USA"
"
Apr
22
2023

",Bejeweled," NRG Stadium, Houston, TX, USA"
"
Apr
22
2023

",Mastermind," NRG Stadium, Houston, TX, USA"
"
Apr
22
2023

",Karma," NRG Stadium, Houston, TX, USA"
"
Apr
21
2023

",Miss Americana & The Heartbreak Prince," NRG Stadium, Houston, TX, USA"
"
Apr
21
2023

",Cruel Summer," NRG Stadium, Houston, TX, USA"
"
Apr
21
2023

",The Man," NRG Stadium, Houston, TX, USA"
"
Apr
21
2023

",You Need To Calm Down," NRG Stadium, Houston, TX, USA"
"
Apr
21
2023

",Lover," NRG Stadium, Houston, TX, USA"
"
Apr
21
2023

",The Archer," NRG Stadium, Houston, TX, USA"
"
Apr
21
2023

",Fearless," NRG Stadium, Houston, TX, USA"
"
Apr
21
2023

",You Belong With Me," NRG Stadium, Houston, TX, USA"
"
Apr
21
2023

",Love Story," NRG Stadium, Houston, TX, USA"
"
Apr
21
2023

",'Tis The Damn Season," NRG Stadium, Houston, TX, USA"
"
Apr
21
2023

",Willow," NRG Stadium, Houston, TX, USA"
"
Apr
21
2023

",Marjorie," NRG Stadium, Houston, TX, USA"
"
Apr
21
2023

",Champagne Problems," NRG Stadium, Houston, TX, USA"
"
Apr
21
2023

",Tolerate It," NRG Stadium, Houston, TX, USA"
"
Apr
21
2023

",...Ready For It?," NRG Stadium, Houston, TX, USA"
"
Apr
21
2023

",Delicate," NRG Stadium, Houston, TX, USA"
"
Apr
21
2023

",Don't Blame Me," NRG Stadium, Houston, TX, USA"
"
Apr
21
2023

",Look What You Made Me Do," NRG Stadium, Houston, TX, USA"
"
Apr
21
2023

",Enchanted," NRG Stadium, Houston, TX, USA"
"
Apr
21
2023

",22," NRG Stadium, Houston, TX, USA"
"
Apr
21
2023

",We Are Never Ever Getting Back Together," NRG Stadium, Houston, TX, USA"
"
Apr
21
2023

",I Knew You Were Trouble," NRG Stadium, Houston, TX, USA"
"
Apr
21
2023

",All Too Well (10 Minute Version)," NRG Stadium, Houston, TX, USA"
"
Apr
21
2023

",The 1," NRG Stadium, Houston, TX, USA"
"
Apr
21
2023

",Betty," NRG Stadium, Houston, TX, USA"
"
Apr
21
2023

",The Last Great American Dynasty," NRG Stadium, Houston, TX, USA"
"
Apr
21
2023

",August," NRG Stadium, Houston, TX, USA"
"
Apr
21
2023

",Illicit Affairs," NRG Stadium, Houston, TX, USA"
"
Apr
21
2023

",My Tears Ricochet," NRG Stadium, Houston, TX, USA"
"
Apr
21
2023

",Cardigan," NRG Stadium, Houston, TX, USA"
"
Apr
21
2023

",Style," NRG Stadium, Houston, TX, USA"
"
Apr
21
2023

",Blank Space," NRG Stadium, Houston, TX, USA"
"
Apr
21
2023

",Shake It Off," NRG Stadium, Houston, TX, USA"
"
Apr
21
2023

",Wildest Dreams," NRG Stadium, Houston, TX, USA"
"
Apr
21
2023

",Bad Blood," NRG Stadium, Houston, TX, USA"
"
Apr
21
2023

",Wonderland," NRG Stadium, Houston, TX, USA"
"
Apr
21
2023

",You're Not Sorry," NRG Stadium, Houston, TX, USA"
"
Apr
21
2023

",Lavender Haze," NRG Stadium, Houston, TX, USA"
"
Apr
21
2023

",Anti‐Hero," NRG Stadium, Houston, TX, USA"
"
Apr
21
2023

",Midnight Rain," NRG Stadium, Houston, TX, USA"
"
Apr
21
2023

",Vigilante Shit," NRG Stadium, Houston, TX, USA"
"
Apr
21
2023

",Bejeweled," NRG Stadium, Houston, TX, USA"
"
Apr
21
2023

",Mastermind," NRG Stadium, Houston, TX, USA"
"
Apr
21
2023

",Karma," NRG Stadium, Houston, TX, USA"
"
Apr
15
2023

",Miss Americana & The Heartbreak Prince," Raymond James Stadium, Tampa, FL, USA"
"
Apr
15
2023

",Cruel Summer," Raymond James Stadium, Tampa, FL, USA"
"
Apr
15
2023

",The Man," Raymond James Stadium, Tampa, FL, USA"
"
Apr
15
2023

",You Need To Calm Down," Raymond James Stadium, Tampa, FL, USA"
"
Apr
15
2023

",Lover," Raymond James Stadium, Tampa, FL, USA"
"
Apr
15
2023

",The Archer," Raymond James Stadium, Tampa, FL, USA"
"
Apr
15
2023

",Fearless," Raymond James Stadium, Tampa, FL, USA"
"
Apr
15
2023

",You Belong With Me," Raymond James Stadium, Tampa, FL, USA"
"
Apr
15
2023

",Love Story," Raymond James Stadium, Tampa, FL, USA"
"
Apr
15
2023

",'Tis The Damn Season," Raymond James Stadium, Tampa, FL, USA"
"
Apr
15
2023

",Willow," Raymond James Stadium, Tampa, FL, USA"
"
Apr
15
2023

",Marjorie," Raymond James Stadium, Tampa, FL, USA"
"
Apr
15
2023

",Champagne Problems," Raymond James Stadium, Tampa, FL, USA"
"
Apr
15
2023

",Tolerate It," Raymond James Stadium, Tampa, FL, USA"
"
Apr
15
2023

",...Ready For It?," Raymond James Stadium, Tampa, FL, USA"
"
Apr
15
2023

",Delicate," Raymond James Stadium, Tampa, FL, USA"
"
Apr
15
2023

",Don't Blame Me," Raymond James Stadium, Tampa, FL, USA"
"
Apr
15
2023

",Look What You Made Me Do," Raymond James Stadium, Tampa, FL, USA"
"
Apr
15
2023

",Enchanted," Raymond James Stadium, Tampa, FL, USA"
"
Apr
15
2023

",22," Raymond James Stadium, Tampa, FL, USA"
"
Apr
15
2023

",We Are Never Ever Getting Back Together," Raymond James Stadium, Tampa, FL, USA"
"
Apr
15
2023

",I Knew You Were Trouble," Raymond James Stadium, Tampa, FL, USA"
"
Apr
15
2023

",All Too Well (10 Minute Version)," Raymond James Stadium, Tampa, FL, USA"
"
Apr
15
2023

",The 1," Raymond James Stadium, Tampa, FL, USA"
"
Apr
15
2023

",Betty," Raymond James Stadium, Tampa, FL, USA"
"
Apr
15
2023

",The Last Great American Dynasty," Raymond James Stadium, Tampa, FL, USA"
"
Apr
15
2023

",August," Raymond James Stadium, Tampa, FL, USA"
"
Apr
15
2023

",Illicit Affairs," Raymond James Stadium, Tampa, FL, USA"
"
Apr
15
2023

",My Tears Ricochet," Raymond James Stadium, Tampa, FL, USA"
"
Apr
15
2023

",Cardigan," Raymond James Stadium, Tampa, FL, USA"
"
Apr
15
2023

",Style," Raymond James Stadium, Tampa, FL, USA"
"
Apr
15
2023

",Blank Space," Raymond James Stadium, Tampa, FL, USA"
"
Apr
15
2023

",Shake It Off," Raymond James Stadium, Tampa, FL, USA"
"
Apr
15
2023

",Wildest Dreams," Raymond James Stadium, Tampa, FL, USA"
"
Apr
15
2023

",Bad Blood," Raymond James Stadium, Tampa, FL, USA"
"
Apr
15
2023

",Mad Woman," Raymond James Stadium, Tampa, FL, USA"
"
Apr
15
2023

",Mean," Raymond James Stadium, Tampa, FL, USA"
"
Apr
15
2023

",Lavender Haze," Raymond James Stadium, Tampa, FL, USA"
"
Apr
15
2023

",Anti‐Hero," Raymond James Stadium, Tampa, FL, USA"
"
Apr
15
2023

",Midnight Rain," Raymond James Stadium, Tampa, FL, USA"
"
Apr
15
2023

",Vigilante Shit," Raymond James Stadium, Tampa, FL, USA"
"
Apr
15
2023

",Bejeweled," Raymond James Stadium, Tampa, FL, USA"
"
Apr
15
2023

",Mastermind," Raymond James Stadium, Tampa, FL, USA"
"
Apr
15
2023

",Karma," Raymond James Stadium, Tampa, FL, USA"
"
Apr
14
2023

",Miss Americana & The Heartbreak Prince," Raymond James Stadium, Tampa, FL, USA"
"
Apr
14
2023

",Cruel Summer," Raymond James Stadium, Tampa, FL, USA"
"
Apr
14
2023

",The Man," Raymond James Stadium, Tampa, FL, USA"
"
Apr
14
2023

",You Need To Calm Down," Raymond James Stadium, Tampa, FL, USA"
"
Apr
14
2023

",Lover," Raymond James Stadium, Tampa, FL, USA"
"
Apr
14
2023

",The Archer," Raymond James Stadium, Tampa, FL, USA"
"
Apr
14
2023

",Fearless," Raymond James Stadium, Tampa, FL, USA"
"
Apr
14
2023

",You Belong With Me," Raymond James Stadium, Tampa, FL, USA"
"
Apr
14
2023

",Love Story," Raymond James Stadium, Tampa, FL, USA"
"
Apr
14
2023

",'Tis The Damn Season," Raymond James Stadium, Tampa, FL, USA"
"
Apr
14
2023

",Willow," Raymond James Stadium, Tampa, FL, USA"
"
Apr
14
2023

",Marjorie," Raymond James Stadium, Tampa, FL, USA"
"
Apr
14
2023

",Champagne Problems," Raymond James Stadium, Tampa, FL, USA"
"
Apr
14
2023

",Tolerate It," Raymond James Stadium, Tampa, FL, USA"
"
Apr
14
2023

",...Ready For It?," Raymond James Stadium, Tampa, FL, USA"
"
Apr
14
2023

",Delicate," Raymond James Stadium, Tampa, FL, USA"
"
Apr
14
2023

",Don't Blame Me," Raymond James Stadium, Tampa, FL, USA"
"
Apr
14
2023

",Look What You Made Me Do," Raymond James Stadium, Tampa, FL, USA"
"
Apr
14
2023

",Enchanted," Raymond James Stadium, Tampa, FL, USA"
"
Apr
14
2023

",22," Raymond James Stadium, Tampa, FL, USA"
"
Apr
14
2023

",We Are Never Ever Getting Back Together," Raymond James Stadium, Tampa, FL, USA"
"
Apr
14
2023

",I Knew You Were Trouble," Raymond James Stadium, Tampa, FL, USA"
